name,type,value,date
AnHui,,1,2020/1/22
Fujian,,1,2020/1/22
Chongqing,,6,2020/1/22
BeiJing,,14,2020/1/22
Fujian,,5,2020/1/23
AnHui,,9,2020/1/23
Chongqing,,9,2020/1/23
BeiJing,,22,2020/1/23
Fujian,,10,2020/1/24
AnHui,,15,2020/1/24
Chongqing,,27,2020/1/24
BeiJing,,36,2020/1/24
Fujian,,18,2020/1/25
AnHui,,39,2020/1/25
BeiJing,,41,2020/1/25
Chongqing,,57,2020/1/25
Fujian,,35,2020/1/26
AnHui,,60,2020/1/26
BeiJing,,68,2020/1/26
Chongqing,,75,2020/1/26
Fujian,,59,2020/1/27
AnHui,,70,2020/1/27
BeiJing,,80,2020/1/27
Chongqing,,110,2020/1/27
Fujian,,80,2020/1/28
BeiJing,,91,2020/1/28
AnHui,,106,2020/1/28
Chongqing,,132,2020/1/28
Fujian,,84,2020/1/29
BeiJing,,111,2020/1/29
Chongqing,,147,2020/1/29
AnHui,,152,2020/1/29
Fujian,,101,2020/1/30
BeiJing,,114,2020/1/30
Chongqing,,182,2020/1/30
AnHui,,200,2020/1/30
Fujian,,120,2020/1/31
BeiJing,,139,2020/1/31
Chongqing,,211,2020/1/31
AnHui,,237,2020/1/31
Fujian,,144,2020/2/1
BeiJing,,168,2020/2/1
Chongqing,,247,2020/2/1
AnHui,,297,2020/2/1
Fujian,,159,2020/2/2
BeiJing,,191,2020/2/2
Chongqing,,300,2020/2/2
AnHui,,340,2020/2/2
Fujian,,179,2020/2/3
BeiJing,,212,2020/2/3
Chongqing,,337,2020/2/3
AnHui,,408,2020/2/3
Fujian,,194,2020/2/4
BeiJing,,228,2020/2/4
Chongqing,,366,2020/2/4
AnHui,,480,2020/2/4
Fujian,,205,2020/2/5
BeiJing,,253,2020/2/5
Chongqing,,389,2020/2/5
AnHui,,530,2020/2/5
Fujian,,215,2020/2/6
BeiJing,,274,2020/2/6
Chongqing,,411,2020/2/6
AnHui,,591,2020/2/6
Fujian,,224,2020/2/7
BeiJing,,297,2020/2/7
Chongqing,,426,2020/2/7
AnHui,,665,2020/2/7
Fujian,,239,2020/2/8
BeiJing,,315,2020/2/8
Chongqing,,428,2020/2/8
AnHui,,733,2020/2/8
Fujian,,250,2020/2/9
BeiJing,,326,2020/2/9
Chongqing,,468,2020/2/9
AnHui,,779,2020/2/9
Fujian,,261,2020/2/10
BeiJing,,337,2020/2/10
Chongqing,,486,2020/2/10
AnHui,,830,2020/2/10
Fujian,,267,2020/2/11
BeiJing,,342,2020/2/11
Chongqing,,505,2020/2/11
AnHui,,860,2020/2/11
Fujian,,272,2020/2/12
BeiJing,,352,2020/2/12
Chongqing,,518,2020/2/12
AnHui,,889,2020/2/12
Fujian,,279,2020/2/13
BeiJing,,366,2020/2/13
Chongqing,,529,2020/2/13
AnHui,,910,2020/2/13
Fujian,,281,2020/2/14
BeiJing,,372,2020/2/14
Chongqing,,537,2020/2/14
AnHui,,934,2020/2/14
Fujian,,285,2020/2/15
BeiJing,,375,2020/2/15
Chongqing,,544,2020/2/15
AnHui,,950,2020/2/15
Fujian,,287,2020/2/16
BeiJing,,380,2020/2/16
Chongqing,,551,2020/2/16
AnHui,,962,2020/2/16
Fujian,,290,2020/2/17
BeiJing,,381,2020/2/17
Chongqing,,553,2020/2/17
AnHui,,973,2020/2/17
Fujian,,292,2020/2/18
BeiJing,,387,2020/2/18
Chongqing,,555,2020/2/18
AnHui,,982,2020/2/18
Fujian,,293,2020/2/19
BeiJing,,393,2020/2/19
Chongqing,,560,2020/2/19
AnHui,,986,2020/2/19
Fujian,,293,2020/2/20
BeiJing,,395,2020/2/20
Chongqing,,567,2020/2/20
AnHui,,987,2020/2/20
Fujian,,293,2020/2/21
BeiJing,,396,2020/2/21
Chongqing,,572,2020/2/21
AnHui,,988,2020/2/21
Fujian,,293,2020/2/22
BeiJing,,399,2020/2/22
Chongqing,,573,2020/2/22
AnHui,,989,2020/2/22
Fujian,,293,2020/2/23
BeiJing,,399,2020/2/23
Chongqing,,575,2020/2/23
AnHui,,989,2020/2/23
Fujian,,293,2020/2/24
BeiJing,,399,2020/2/24
Chongqing,,576,2020/2/24
AnHui,,989,2020/2/24
Fujian,,294,2020/2/25
BeiJing,,400,2020/2/25
Chongqing,,576,2020/2/25
AnHui,,989,2020/2/25
Fujian,,294,2020/2/26
BeiJing,,400,2020/2/26
Chongqing,,576,2020/2/26
AnHui,,989,2020/2/26
Fujian,,296,2020/2/27
BeiJing,,410,2020/2/27
Chongqing,,576,2020/2/27
AnHui,,989,2020/2/27
Fujian,,296,2020/2/28
BeiJing,,410,2020/2/28
Chongqing,,576,2020/2/28
AnHui,,990,2020/2/28
Fujian,,296,2020/2/29
BeiJing,,411,2020/2/29
Chongqing,,576,2020/2/29
AnHui,,990,2020/2/29
Fujian,,296,2020/3/1
BeiJing,,413,2020/3/1
Chongqing,,576,2020/3/1
AnHui,,990,2020/3/1
Fujian,,296,2020/3/2
BeiJing,,414,2020/3/2
Chongqing,,576,2020/3/2
AnHui,,990,2020/3/2
Fujian,,296,2020/3/3
BeiJing,,414,2020/3/3
Chongqing,,576,2020/3/3
AnHui,,990,2020/3/3
Fujian,,296,2020/3/4
BeiJing,,418,2020/3/4
Chongqing,,576,2020/3/4
AnHui,,990,2020/3/4
Fujian,,296,2020/3/5
BeiJing,,418,2020/3/5
Chongqing,,576,2020/3/5
AnHui,,990,2020/3/5
Fujian,,296,2020/3/6
BeiJing,,422,2020/3/6
Chongqing,,576,2020/3/6
AnHui,,990,2020/3/6
Fujian,,296,2020/3/7
BeiJing,,426,2020/3/7
Chongqing,,576,2020/3/7
AnHui,,990,2020/3/7
Fujian,,296,2020/3/8
BeiJing,,428,2020/3/8
Chongqing,,576,2020/3/8
AnHui,,990,2020/3/8
Fujian,,296,2020/3/9
BeiJing,,428,2020/3/9
Chongqing,,576,2020/3/9
AnHui,,990,2020/3/9
Fujian,,296,2020/3/10
BeiJing,,429,2020/3/10
Chongqing,,576,2020/3/10
AnHui,,990,2020/3/10
Fujian,,296,2020/3/11
BeiJing,,435,2020/3/11
Chongqing,,576,2020/3/11
AnHui,,990,2020/3/11
Fujian,,296,2020/3/12
BeiJing,,435,2020/3/12
Chongqing,,576,2020/3/12
AnHui,,990,2020/3/12
Fujian,,296,2020/3/13
BeiJing,,436,2020/3/13
Chongqing,,576,2020/3/13
AnHui,,990,2020/3/13
Fujian,,296,2020/3/14
BeiJing,,437,2020/3/14
Chongqing,,576,2020/3/14
AnHui,,990,2020/3/14
Fujian,,296,2020/3/15
BeiJing,,442,2020/3/15
Chongqing,,576,2020/3/15
AnHui,,990,2020/3/15
Fujian,,296,2020/3/16
BeiJing,,452,2020/3/16
Chongqing,,576,2020/3/16
AnHui,,990,2020/3/16
Fujian,,296,2020/3/17
BeiJing,,456,2020/3/17
Chongqing,,576,2020/3/17
AnHui,,990,2020/3/17
Fujian,,296,2020/3/18
BeiJing,,469,2020/3/18
Chongqing,,576,2020/3/18
AnHui,,990,2020/3/18
Fujian,,296,2020/3/19
BeiJing,,480,2020/3/19
Chongqing,,576,2020/3/19
AnHui,,990,2020/3/19
Fujian,,299,2020/3/20
BeiJing,,491,2020/3/20
Chongqing,,576,2020/3/20
AnHui,,990,2020/3/20
Fujian,,303,2020/3/21
BeiJing,,504,2020/3/21
Chongqing,,576,2020/3/21
AnHui,,990,2020/3/21
Fujian,,313,2020/3/22
BeiJing,,522,2020/3/22
Chongqing,,577,2020/3/22
AnHui,,990,2020/3/22
Fujian,,313,2020/3/23
BeiJing,,537,2020/3/23
Chongqing,,578,2020/3/23
AnHui,,990,2020/3/23
Fujian,,318,2020/3/24
BeiJing,,558,2020/3/24
Chongqing,,578,2020/3/24
AnHui,,990,2020/3/24
Fujian,,322,2020/3/25
BeiJing,,561,2020/3/25
Chongqing,,578,2020/3/25
AnHui,,990,2020/3/25
Fujian,,328,2020/3/26
BeiJing,,566,2020/3/26
Chongqing,,578,2020/3/26
AnHui,,990,2020/3/26
Fujian,,331,2020/3/27
BeiJing,,569,2020/3/27
Chongqing,,578,2020/3/27
AnHui,,990,2020/3/27
Fujian,,337,2020/3/28
BeiJing,,573,2020/3/28
Chongqing,,578,2020/3/28
AnHui,,990,2020/3/28
Fujian,,338,2020/3/29
BeiJing,,577,2020/3/29
Chongqing,,579,2020/3/29
AnHui,,990,2020/3/29
Fujian,,340,2020/3/30
BeiJing,,577,2020/3/30
Chongqing,,579,2020/3/30
AnHui,,990,2020/3/30
Fujian,,343,2020/3/31
Chongqing,,579,2020/3/31
BeiJing,,580,2020/3/31
AnHui,,990,2020/3/31
