name,value,date
AnHui,1,2020/1/22
BeiJing,14,2020/1/22
Chongqing,6,2020/1/22
Fujian,1,2020/1/22
Gansu,0,2020/1/22
Guangdong,26,2020/1/22
Guangxi,2,2020/1/22
Guizhou,1,2020/1/22
Hainan,4,2020/1/22
Hebei,1,2020/1/22
Heilongjiang,0,2020/1/22
Henan,5,2020/1/22
Hong Kong,0,2020/1/22
Hubei,416,2020/1/22
Hunan,4,2020/1/22
Inner Mongolia,0,2020/1/22
Jiangsu,1,2020/1/22
Jiangxi,2,2020/1/22
Jilin,0,2020/1/22
Liaoning,2,2020/1/22
Macau,1,2020/1/22
Ningxia,1,2020/1/22
Qinghai,0,2020/1/22
Shaanxi,0,2020/1/22
Shandong,2,2020/1/22
Shanghai,9,2020/1/22
Shanxi,1,2020/1/22
Sichuan,5,2020/1/22
Tianjin,4,2020/1/22
Tibet,0,2020/1/22
Xinjiang,0,2020/1/22
Yunnan,1,2020/1/22
Zhejiang,10,2020/1/22
Taiwan,1,2020/1/22
AnHui,9,2020/1/23
BeiJing,22,2020/1/23
Chongqing,9,2020/1/23
Fujian,5,2020/1/23
Gansu,2,2020/1/23
Guangdong,30,2020/1/23
Guangxi,5,2020/1/23
Guizhou,3,2020/1/23
Hainan,5,2020/1/23
Hebei,1,2020/1/23
Heilongjiang,2,2020/1/23
Henan,5,2020/1/23
Hong Kong,2,2020/1/23
Hubei,416,2020/1/23
Hunan,9,2020/1/23
Inner Mongolia,0,2020/1/23
Jiangsu,5,2020/1/23
Jiangxi,7,2020/1/23
Jilin,1,2020/1/23
Liaoning,3,2020/1/23
Macau,2,2020/1/23
Ningxia,1,2020/1/23
Qinghai,0,2020/1/23
Shaanxi,3,2020/1/23
Shandong,6,2020/1/23
Shanghai,16,2020/1/23
Shanxi,1,2020/1/23
Sichuan,8,2020/1/23
Tianjin,4,2020/1/23
Tibet,0,2020/1/23
Xinjiang,2,2020/1/23
Yunnan,2,2020/1/23
Zhejiang,27,2020/1/23
Taiwan,1,2020/1/23
AnHui,15,2020/1/24
BeiJing,35,2020/1/24
Chongqing,27,2020/1/24
Fujian,10,2020/1/24
Gansu,2,2020/1/24
Guangdong,51,2020/1/24
Guangxi,23,2020/1/24
Guizhou,3,2020/1/24
Hainan,8,2020/1/24
