name,value,date,cover,leiji
AnHui,1,2020/1/22,0,1
AnHui,9,2020/1/23,0,9
AnHui,15,2020/1/24,0,15
AnHui,39,2020/1/25,0,39
AnHui,60,2020/1/26,0,60
AnHui,70,2020/1/27,0,70
AnHui,106,2020/1/28,0,106
AnHui,150,2020/1/29,2,152
AnHui,198,2020/1/30,2,200
AnHui,234,2020/1/31,3,237
AnHui,292,2020/2/1,5,297
AnHui,333,2020/2/2,7,340
AnHui,394,2020/2/3,14,408
AnHui,460,2020/2/4,20,480
AnHui,507,2020/2/5,23,530
AnHui,557,2020/2/6,34,591
AnHui,618,2020/2/7,47,665
AnHui,674,2020/2/8,59,733
AnHui,707,2020/2/9,72,779
AnHui,742,2020/2/10,88,830
AnHui,755,2020/2/11,105,860
AnHui,762,2020/2/12,127,889
AnHui,753,2020/2/13,157,910
AnHui,741,2020/2/14,193,934
AnHui,729,2020/2/15,221,950
AnHui,707,2020/2/16,255,962
AnHui,693,2020/2/17,280,973
AnHui,621,2020/2/18,361,982
AnHui,573,2020/2/19,413,986
AnHui,513,2020/2/20,474,987
AnHui,449,2020/2/21,539,988
AnHui,392,2020/2/22,597,989
AnHui,352,2020/2/23,637,989
AnHui,326,2020/2/24,663,989
AnHui,277,2020/2/25,712,989
AnHui,245,2020/2/26,744,989
AnHui,197,2020/2/27,792,989
AnHui,169,2020/2/28,821,990
AnHui,122,2020/2/29,868,990
AnHui,117,2020/3/1,873,990
AnHui,73,2020/3/2,917,990
AnHui,54,2020/3/3,936,990
AnHui,34,2020/3/4,956,990
AnHui,20,2020/3/5,970,990
AnHui,11,2020/3/6,979,990
AnHui,11,2020/3/7,979,990
AnHui,6,2020/3/8,984,990
AnHui,6,2020/3/9,984,990
AnHui,6,2020/3/10,984,990
AnHui,6,2020/3/11,984,990
AnHui,6,2020/3/12,984,990
AnHui,6,2020/3/13,984,990
AnHui,6,2020/3/14,984,990
AnHui,6,2020/3/15,984,990
AnHui,6,2020/3/16,984,990
AnHui,6,2020/3/17,984,990
AnHui,6,2020/3/18,984,990
AnHui,6,2020/3/19,984,990
AnHui,6,2020/3/20,984,990
AnHui,6,2020/3/21,984,990
AnHui,6,2020/3/22,984,990
AnHui,6,2020/3/23,984,990
AnHui,6,2020/3/24,984,990
AnHui,6,2020/3/25,984,990
AnHui,6,2020/3/26,984,990
AnHui,6,2020/3/27,984,990
AnHui,6,2020/3/28,984,990
